CDS,CDS original script,PoS,ADS,English,Country,Language branch,Group of languages,Language,Area,Source,Year,Comments,Examples,Semantic Domain
dday,,v,"taḍuri (noun);
 ḍer = IMP (verb)","fall (he fell), falling (n)",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,not used in Ourzazate,,"body, warning, negative, action"
ddu i xuṯ,,v,ddu i ṭṭseṯ,"sleep, go to sleep",Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,"In ‘ddu i ṭṭseṯ’, /i/ is a particle (different from pan-Berber AD, which corresponds to /di/ in Tasahlit). Note by informant: i est utilisé pour un procès imminent ~ futur proche; lorsque l'on donne un ordre on utilise que la particule i ; di peut être utilisé dans la même phrase mais il reverra à un procès plus à celui du verbe précédé de i. For example, in the sentence ""Son, go to sleep, tonight you will dream good dreams"" will have i before the verb ‘sleep’, and di before the verb ‘to dream’, because ‘to dream refers to a more distant (not immediate) future, e.g. (Aït Bouyoucef dialect): a mmi ddu i ṭṭseṯ iṭ-a di burgeṯ tiburgiwin l lɛali. In Aït Laalam dialect, the equivalent of /i/ is /a/, while /di/ is /da/, hence: /a mmi ddu a ṭṭset aṭ-a da burget tiburgiwan l lɛali/.",,action
deddi,,n,,"pain, hurt, injury",Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,warning
deddi,,n,,"pain, hurt, injury, wound, harm, anything harmful",Algeria,Amazigh (Berber),,Tashawit,"Ayt Busliman (Chennawra), Ayt Sellem",,2024,,,
deddi,,n,,"pain, hurt, injury",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,warning
deddi,,n,,"pain, it hurts",Libya,Amazigh (Berber),,Zwara,,,2014,,,
"deddi, diddi",,n,,"pain, hurt, injury",Algeria,Amazigh (Berber),,Tashawit,,,2024,,,warning
"deddi, duddu",,n,,"pain, hurt, injury",Algeria,Semitic,,Arabic (Algerian),,,2024,,,warning
deġdeġ,,interj,,laugh/smile (said to the baby to make him laugh),Algeria,Amazigh (Berber),,Tashawit,"Ayt Busliman (Chennawra), Ayt Sellem",,2024,,,
deġdeġ,,n,,"armpits, tickle",Morocco,Semitic,Arabic,Arabic (Moroccan),Oujda,,2024,,,"body, game"
dəddi,,"adv, interj, n",,"pain, wound, owie (ow, oww, oh, ah, ouch)",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"quality, negative, warning, body, pain"
dəddi,,"adv, interj, n",,"pain, wound, owie (ow, oww, oh, ah, ouch)",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"quality, negative, warning, body, pain"
"didde, (hu)mm",,"v:imp, adj, interj",,"stop, leave, don't, it is bad, it will hurt you",Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,,,"quality, warning, action, negative"
"didde, (hu)mm",,n,,"bad, don't",Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
"diddeš, dadduš, dedduš",,v:imp,,make your first steps,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"body, action"
diddi,,"n, adj, v",aḥḥ 'oh' (exclamation),"pain, everything painful, stop, leave, dirty, it will hurt you, it is bad; BT as warning for smth dangerous, sharp, hot e.g. fire, etc. Everything that can hurt/is painful",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"igga diddi 'he hurt himself' (e.g. he fell, etc.); cf. igg=as diddi 'he hurt smb' (lit. 'he did him/her diddi/pain')",,"body, negative, warning"
diddi,,"n, v, adj",l'alam,"hurt, pain; it will hurt you, stop",Morocco,Amazigh (Berber),,Tashelhit,Ouarzazate,,2014,"cf. ṭaḥṭaḥ, ḥaḥa/ḥaḥḥa.",ira ksekreġ diddi ‘I am going to hurt/ punish you’.,"body, warning, negative, pain"
diddi,,"interj, n, v",ɛand-ek,"stop, don't touch, attention, danger, dirt, pain",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Synonyms: aḥḥ, diddi, kxx, beɛɛu.",,"warning, negative, action"
diddi,,"n, v, interj",aḏeddi ‘(open) wound’,"pain, hurt, injury, wound, harm, anything harmful",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,Used to refer to anything that can harm a child.,"Ur ttnal ara winna, diddi! ‘Don't touch that, it’s diddi [harmful]!’ Anda ay tesɛid diddi? 'Where do you have pain?'","body, pain, danger, warning, negative"
diddi,,"n, v, interj",aḏeddi ‘(open) wound’,"pain, hurt, injury, wound, harm, anything harmful",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,Used to refer to anything that can harm a child.,"Ur ttnal ara winna, diddi! ‘Don't touch that, it’s diddi [harmful]!’ Anda ay tesɛid diddi? 'Where do you have pain?'","body, pain, danger, warning, negative"
diddi,,"n, interj, v, adj",,"pain, everything that hurts/dangerous and that should be avoided; hurt",Libya,Amazigh (Berber),,Awjila,Awjila,,2013,Also in Morocco and in Algeria.,,"warning, negative, quality"
diddi,,"n, adj, v",,"hurt, everything that hurts; pain",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,Not used with a final -ḥ,,"body, warning, negative"
diddi,,"n, interj",,"pain, hurt; everything that can hurt/is painful/dangerous",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Widespread,,"warning, negative, body"
diddi,,"n, v, interj",,"pain, hurt",Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Bgayet),,1998,,,"body, pain, danger, warning, negative"
diddi,,"n, v, interj",,"pain, hurt",Algeria,Amazigh (Berber),,Kabyle,Béjaïa,,1998,,,"body, pain, danger, warning, negative"
diddi,,n,aleddic,wound,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,warning
diddi,,"n, v",,pain,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,,,"warning, negative, body, action"
diddi,,n,,"pain, hurt; everything that can hurt/is painful/dangerous",Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"warning, negative, body"
diddi,,"v, interj",,"hurt oneself, injury",Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
diddi,,"n, v, adj",,"hurt, pain; it will hurt you, stop",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,,,"body, warning, negative, pain"
diddi,,"n, v, adj",?,"hurt, pain; it will hurt you, stop",Morocco,Amazigh (Berber),,Tashelhit,"Tarudant, Taznaxt",,2015,,,"body, warning, negative, pain"
"diddi, aḥḥ",,"n, interj",aḥḥ 'oh' (exclamation),"pain, hurt; everything that can hurt/is painful/dangerous",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025",,"ig(g)a diddi ‘he did hurt(ing)/pain’ > he hurt himself, he fell, etc.","warning, negative, body"
"diddi, aḥḥ",,"n, adj, v",aḥḥ 'oh' (exclamation),"hurt, everything that hurts; pain",Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,,,"body, warning, negative"
"diddi, ddiddi",,"n, interj",žerḥa (ɛand-ek),"injury, harm, pain, hurt, trouble (stop, don't touch)",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Synonyms: aḥḥ, diddi, kxx, beɛɛu. Common with Berber (diddi).",,"body, warning"
"diddi, ddiddi",,"n, adj, interj",,"bad, hurt, pain, injury, damage",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"quality, body, warning"
"diddi, deddu",,v,,hurt oneself,Algeria,Amazigh (Berber),,Tashawit,"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,,,warning
"diddi, diddiš",,"n, v, interj",,"pain, hurt, injury, wound",Algeria,Amazigh (Berber),,Kabyle,At Zmenzer,,2014,May be derived from adult iḏeddi ‘wound’ (or vice versa)?,,"body, pain, danger, warning, negative"
"diddi, diddiš",,"n, v, interj",,"pain, hurt, injury, wound",Algeria,Amazigh (Berber),,Kabyle,At Zmenzer,,2014,May be derived from adult iḏeddi ‘wound’ (or vice versa)?,,"body, pain, danger, warning, negative"
diddiḥ,,"n, adj, v",aḥḥ 'oh' (exclamation),"hurt, everything that hurts; pain",Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,,,"body, warning, negative"
didH (didḥ?),,v,,clap,Libya,Amazigh (Berber),,Zwara,,,2014,,,
didi,,n,yaẓiṭ,chicken,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"animals, birds"
didi,,n,yaẓiṭ,chicken,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"animals, birds"
didi,,n,Schnuller,"dummy, pacifier",Germany,Germanic,,German,,,2024,,,soothing
didi,ديدي,n,,pain,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
"didi, diddi, ḥaḥa",,"n, interj","alam (Cl. Ar.); mwaɛet ‘I am hurt’, aḥ! 'oh!' derri-t-ek ‘I hurt you’, 
 darr-ek ~qasḥ-t-ek? ‘does it hurt you?’ 
 t-qasseḥ-t-i? ‘Did you hurt yourself?’","pain, hurt, everything that hurts; harm;
 injury, wound;
 owie, ow, oww, oh, ah, ouch",Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Fes",,2014,Used by Arabs and Berbers. Also ḥaḥa. Cf. taḥtaḥ. In Kabyle: diddiš.,(ġa=)ndir-l-ek ṭaḥṭaḥ/ diddi. ‘I am going to hurt/ punish you’. ɛandi diddi ‘I am hurt’ (but not *ɛandi ṭaḥṭaḥ).,"body, warning, negative"
"didu, diḍo",,interj,,hide-and-seek: said when playing hide-and-seek,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"game, interjection"
"didu, diḍo, ɛēwu",,interj,,hide-and-seek: said when playing hide-and-seek,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"game, interjection"
didu!,,interj,,"hi, hello",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"interjection, greeting"
dindi,,n,,money,Italy,Romance,,Italian,,,2024,Grammatically (always) pl.,,
dink,,"v, n",drink,drink,"USA, UK",Germanic,,English,,Ferguson 1964,1964,,,
diydi,,n,?,dog,Morocco,Amazigh (Berber),,Tashelhit,Tarudant,,2015,,,animals
"dodaxx, dudaxx, ṛwēsa, ṛwesa",,v,,move head in rhythm,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"body, action"
dodo,,n,,"dollie, teddy bear to sleep with",Ecuador,Romance,,Spanish,Ecuador,,2024,A doll/teddy bear with a blanket to make the child comfortable to sleep with. ,,
"ḍoḍo, dudu",,v,nɛes/nɛas,sleep,Morocco,Semitic,Arabic,Arabic (Moroccan),"Casablanca, Fes",,2014,"From French, can be also used by adults (""grown-up childish talk"") e.g. in sms as a joke.",dir ḍoḍo = sir tnɛs (*sir ddir ḍoḍo),"body, action"
"dodo, dudu, ḍuḍu",,v,"žen! (SG) žniw! (PL), žnamt! (FPL)",sleep,Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,"from French, same in Berber and in Arabic",,action
"dodo, dudu, ḍuḍu",,n,,sleep,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,"action, sleep"
"doggie, bow wow",,n,,dog,"USA, UK",Germanic,,English,,Ferguson 1964,1964,,,
doggy-woggy,,n,dog,dog,"USA, UK",Germanic,,English,UK,,2024,"reduplication/rhyming pair involving the sound /w/. Kitty-witty, Doggy-woggy, Teeny-weeny",,
dollie,,n,doll,doll,"USA, UK",Germanic,,English,,Ferguson 1964,1964,,,
doodoohead,,n,idiot,idiot,"USA, UK",Germanic,,English,UK,,2024,,,
doudou,,n,,baby comforter (toy with a blanket or blanket-toy),France,,,French,,,,,Elle est vraiment très mimi entourée de ses doudous,
dud(d)u,,n,,"fat, oil, butter",Libya,Amazigh (Berber),,Awjila,Awjila,,2013,Etymology: possibly from adult speech (plus reduplication). Cf. dahan (Arabic). Cf. tadunt 'fat' in Shawi.,,food
dudaxx,,v,,move your head with rhythm,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"body, action"
duddaš,,v:imp,,walk,Algeria,Amazigh (Berber),,Kabyle,Béjaïa (Bgayet),,1998,tsinnanin ulac,,"body, action, baby"
duddaš,,v:imp,,walk,Algeria,Amazigh (Berber),,Kabyle,Béjaïa,,1998,tsinnanin ulac,,"body, action, baby"
duddu,,n,"lidam 'fat', zzit 'oil', zebda/zebḍa 'butter', udi 'butter'","fat: all sorts of fat: oil, butter, etc.",Morocco,Amazigh (Berber),,Tashelhit,"Tarudant, Taznaxt",,2015,,,food
dudeš (dodeš),,v,amši,come! walk!,Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,said to encourage the child to walk,dudeš ḥab erramman (dudeš piece/grain of pomegranate): song to encourage the child to walk,"body, action, baby"
dudu,,"n, v",wḓa ‘fall’,fall (he fell),Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,"igga dudu 'he did dudu/falling', i.e. 'he fell'",,"body, warning, negative, action"
dudu,,n,aman,water,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,"The baby-talk term dudu also means ‘candy’ in the variety of Aokas (an archaism, see Berkaï)",,food
dudu,,n,,breast,Algeria,Amazigh (Berber),,Tuareg,Ahaggar,Foucauld 1922,1922,,,"body, body part"
"dudu, ḍuḍu",,n,,sleep,Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,"action, sleep"
duma,,n,,"brother (elder), also paternal uncle or any older man that you respect",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
duma,,n,,grandfather,Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
duwa,,v,,fall,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"body, action"
duwwa,,"v, n",taḥ,"fall (be careful, you will fall)",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,action
"džadžaw, quq",,n,"džaža, PL džaž 'hen';
 ferruž = dik, PL frarež =diyaka 'rooster',
 fullus 'small chicken', PL flales, DIM fliles, DIM.PL
 flisat","hen, chicken, rooster, cock; sound that they make",Morocco,Semitic,Arabic,Arabic (Moroccan),Tetouane,,2014,džadžaw: from adult speech; reduplication,,"animals, birds"
"e-e, kaka",,"n, v","dışkılamak, sıçmak","poop (n, v)",Turkey,Turkic,,Turkish,İzmir/Istanbul,,2015,,Kaka var mı?,"body, bodily function, action, taboo"
ecc,,n,,goat,Algeria,Amazigh (Berber),,Tuareg,Ahaggar,Foucauld 1922,1922,,,animals
eɛɛ,,interj,,interj. when you dislike smth; pff! ugh,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Interj. (CDS=ADS). Widespread (also in southern Morocco etc.),,"interjection, negative"
eɛɛ,,n,,goat,Algeria,Amazigh (Berber),,Tuareg,Ahaggar,Foucauld 1922,1922,,,animals
eɛɛ,,interj,eɛɛ; ṭeẓẓ,disgust: interj. when you dislike smth; pff! ugh,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,,,"interjection, negative"
eɛɛ,,interj,,interj. when you dislike smth; pff! ugh,Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"interjection, negative"
"eɛɛ, yaɛɛ",,interj,,"disgust (interj., BT)",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,warning
"eɛɛ, yaɛɛ",,interj,,"disgust (interj., BT)",Algeria,Amazigh (Berber),,Tashawit,,,2024,,,warning
eḥ,,interj,,hurt oneself,Algeria,Amazigh (Berber),,Tashawit,"Ayt Busliman (Chennawra), Ayt Sellem",,2024,,,
eppek,,n,ekmek,bread,Turkey,Turkic,,Turkish,,,2024,,,
"exx, exxa, exxi ",,"interj, adj, adv",,"bad, dirty, interj. when you dislike smth",Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,"exxa! (mother to the child: don't touch, it's dirty), baby: exx, exxi ('I don't like it')","warning, negative"
exxu,,v,,sleep,Algeria,Amazigh (Berber),,Tashawit,"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,,,"action, sleep"
exxu (texxu),,v,,"sleep (v), asleep",Algeria,Amazigh (Berber),,Tashawit,"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,"Berber only, verb+state (adj), different from ninne (trying to put to sleep), texxu is also suitable for older kids (3-4 years), ninne is for babies (until 2 years), root xxu but used with t- always. Can be also used when speaking about a sleeping child addressing an adult: Ḥmed i-texxu (adult speech: i-ṭṭeṣ).",,"action, seep"
əḅḅəf̣,,"v, interj",Ar. امسك,"hold, take, cathc, grasp. here you are!",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"action, body"
əḅḅəf̣,,"v, interj",Ar. امسك,"hold, take, cathc, grasp. here you are!",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"action, body"
əxxi,,interj,,"stop, leave, dirty, it is bad",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"quality, negative, warning"
əxxi,,interj,,"stop, leave, dirty, it is bad",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"quality, negative, warning"
ɛa menni,,"v, interj",,"stop, leave me alone/ in peace, enough!",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,From /bɛd menni/ 'leave me alone',,command
"ɛaɛɛa, kaɛkaɛ",,"interj, n",xra,"poop, excrements",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"poop': ɛaɛɛa, kaɛkaɛ; 'dirty': xēxē, kexxa, xiya; 'pee': bessa.",,"body, bodily function"
ɛam ɛam,,v,,eat,Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,Beber+Arabic,,
ɛamɛam,,"v, n","ičč! (SG), ččiw! (PL), ččimt! (FPL); maščča n. 'food'","eat, food",Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,same in Berber and in Arabic (both terms),,"action, food"
ɛamɛam,,"v, n",hešš 'eat!',"eat, food",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","The ""usual"" Moroccan mimmi is not used in Ketama.",,"body, bodily function, action, food"
ɛamɛam,,"v, n, interj","kul (v), makla (n)","eat, food",Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Fes",,2014,"Used both by Arabs and Berbers, known widely in the country, but not everywhere. Oualid (Ourzazate) is not familiar with mimi: he uses bappa and mnan mnan for ‘food’. When the child wants to eat, it can say mimmi but not hamham; 
 when you want the child to eat, you can say both mimmi or hamham.",,"body, action, food"
ɛamɛam,,"v, n",,"eat, food",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,YES,,"body, bodily function, action, food"
ɛamɛam,,"v, n",,to eat; food,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Also mnamna,,"body, bodily function, action, food"
ɛamɛam,,v,,open the mouth to eat,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,"food, eat"
ɛamɛam,,v,,eat,Morocco,Semitic,Arabic,Arabic (Moroccan),Tetouane/Ceuta,,2024,,,"food, eat"
ɛamɛam,,"v, n",,to eat; food,Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"body, bodily function, action, food"
"ɛammu, ɛammi",,n,ɛammi,uncle (paternal),Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,"humans, kinship"
"ɛammu, ɛemmi",,n,"ɛemm-i, etc",uncle (paternal),Algeria,Amazigh (Berber),,Tashawit,,,2024,,,kinship
"ɛammu, ɛemmu",,n,"ɛemm-i, etc",uncle (paternal),Algeria,Semitic,Arabic,Arabic (Algerian),,,2024,,,kinship
ɛamt-i,,n,"xalt-i, ɛamt-i (BT=adult)",aunt (paternal),Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,BT=adult,,"humans, kinship"
"ɛamtu, ɛamti",,n,,aunt (paternal),Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,kinship
"ɛamtu, ɛamti",,n,,aunt (paternal),Algeria,Semitic,Arabic,Arabic (Algerian),,,2024,,,kinship
ɛamu,,n,"ɛemm-i, etc",uncle (paternal),Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,kinship
ɛamu,,n,"ɛemm-i, etc",uncle (paternal),Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,kinship
"ɛan-ɛan, ɛann",,"v, n",,"drive, motor, car, (bike)",Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,vehicle
"ɛan-ɛan, ɛann",,"v, n",,"drive, motor, car, (bike)",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,vehicle
"ɛan-ɛan, ɛann, ɛen-ɛen, ɛenna",,"v, n",,"drive, motor, car, (bike)",Algeria,Amazigh (Berber),,Tashawit,,,2024,,,vehicle
ɛanɛan,,n,"ṭunubil 'car', lmašina 'train', lmuṭuṛ 'motorbike', bišklit 'bike'; ṭubis 'bus', lkaṛ 'bus from city to city'","motor, tracktor, truck",Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,ɛanɛan (based on the sound of starting engine),,"object, world, transport"
ɛanɛan,,n,"tunuḇin 'car'; muṭu(r) 'motorbike'; 
 bašklit 'bicycle'; mašina 'train'; ṭuḇis 'bus'; lkar 'bus (from one city to another)'; tram ‘tram’","transport, vehicle: car, motorbike; beep-beep; bike; train; bus; tram",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"pipip; titit: all transport; ɛanɛan < (based on the sound of starting engine), usually 'motor, tracktor, truck'.",,"object, world, transport"
ɛanɛan,,n,ṭunuḇin 'car',"transport, vehicle: car, motorbike, etc.",Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,titit is not used in Iqeraiyen,,"object, world, transport"
ɛanɛan,,n,,"transport/vehicle: car, motorbike",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Syn. titit,,"object, world, transport"
ɛanɛan,,n,"sayara 'car', mutu 'motorbike', biškliṭa 'bicycle'; bas = ḥafila 'bus'","car, motorbike; beep-beep",Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,"world, vehicle, object"
ɛanɛan,,n,ṭumubil,car (or other transport),Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"object, world, transport"
ɛanɛan,,n,,"transport/vehicle: car, motorbike",Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"object, world, transport"
ɛanɛan,,n,,"engine, motor, car, motorbike, drive",Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
ɛanɛan,,n,,"motor, tracktor, truck",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,,,"object, world, transport"
ɛann ɛann,,n,ṭumubil,"transport, vehicle: car",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,also used in Ourzazate,,"object, world, transport"
ɛann ɛann,,n,,"transport, vehicle: car",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,also used in Ourzazate,,"object, world, transport"
ɛann ɛann,,n,,vehicle/transport: car,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,also used in Ourzazate,,"object, world, transport"
ɛann ɛann,,n,,"vehicle/transport: car, motorbike; sound of the car/motorbike, motor (beep beep)",Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,also used in Ourzazate,,transport
"ɛann, ɛanna",,n,,"car, motorbike; beep-beep",Morocco,Amazigh (Berber),,Tamazight,"Rashidia, Ayt Merghad",,2014,,,"object, world, transport"
"ɛannāga, ɛannaga",,"n, v",ɛanneg,"embrace, hug",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,From adult speech,,"body, action"
ɛannɛann,,n,"ṭumubil 'car',
 auto 'car' (Oujda),
 muṭur 'motor', ṭubis 'bus'; trambiya 'tram' (North)... tran 'train', PL tranat.",motorbike,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Fes",,2014,"BT does not distinguish between different sorts of transport; ɛannɛann (from the sound of starting engine) more often used for motor, but can be used for car; tutut ‘train’: esp. if you are French-educated.",,"object, world, transport"
ɛawɛaw,,n,,dog,Morocco,Semitic,Arabic,Arabic (Moroccan),Tetouane/Ceuta,,2024,sound of the dog > dog,,animals
ɛawɛaw,,n,,dog,Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
ɛawɛaw ,,n,,dog,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,Also hawhaw ,,animals
ɛawɛaw ,,n,,"dog (bow-wow, doggie)",Syria,Semitic,Arabic,Arabic (Moroccan),"Ketama (Azarmezdi, Bni Hasan)",,2024,"Also in the local Berber and also in Middle Eastern Arabic, e.g. Syria, cf. Ferguson.",,animals
ɛawɛaw ,,n,,"dog (bow-wow, doggie)",Syria,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2024,"As in Arabic (even in Syria, cf. Ferguson)",,animals
ɛawɛaw ,,n,,"dog (bow-wow, doggie)",Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,Cf. Morocco.,,animals
ɛawɛaw ,,n,,"dog (bow-wow, doggie)",Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,animals
ɛay,,interj,,peekaboo,Morocco,,,Tamazight,At Atta,,,,,
ɛaywina,,n,ɛayn,eye,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Tetouane",,2014,"Often, DIM are used in baby-talk.",,"body, body parts"
ɛaywina,,n,ɛayn,eye,Algeria,Semitic,Arabic,Arabic (Algerian),West,,2024,BT=diminutive,,body parts
ɛaziza,,"n, v",,"embrace, hug",Morocco,Semitic,Arabic,Arabic (Moroccan),Taza,,2024,,,"body, action"
ɛazizi,,n,"ɛezzi (paternal), xayyi (maternal)",uncle; also used for ‘father’?,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,,,"humans, kinship"
ɛazza,,"n, v",,"embrace, hug",Morocco,Semitic,Arabic,Arabic (Moroccan),Marrakesh,,2024,,dirli ɛaziza (combination of the verb 'do (to me)' + BT,"body, action"
ɛea,,n,,"to poo, poop",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
ɛeddis,,n,ṯaɛeddist,belly,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,"Cf. ṯaḥebbuṭ, aḥebbuḓ",,"body, body part"
ɛeddis,,n,ṯaɛeddist,belly,Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,Same as AT but without the F circumfix t-…-t,,"body, body part"
ɛedi,,n,,belly,Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
ɛekku,,n,,eye,Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
